date,summary,countries,comment
2025-06,An Iranian-linked espionage group maintained persistent access to Kurdish and Iraqi government networks for eight years. The hackers used custom implants and backdoors to spy on officials and sustain strategic footholds in both regions.,IQ,
2025-05,"The Czech Republic attributed a cyberattack targeting its Foreign Ministry to China. While the incident occurred earlier, the attribution was made public this May.",CZ,
2025-05,"Russian hackers conducted an espionage campaign against educational, government, and research-related entities in Tajikistan. The hackers reportedly used an HTML application to implant file-based malware.",TJ,
2025-05,A Turkish espionage group exploited a vulnerability in a messaging app to spy on Kurdish military forces operating in Iraq over the last year. The hackers used a zero-day bug in the applications to gain access to Kurdish military messages.,IQ,
2025-05,"The U.K.'s National Cyber Security Center named China as the dominant threat to national cybersecurity after a series of hacks and breaches involving British government departments and critical infrastructure, including alleged attacks against the Electoral Commission and Members of Parliament.",GB,
2025-05,"The United States, Britain, France, Germany, and other allies issued an advisory warning of a Russian cyber campaign targeting the delivery of defense support to Ukraine and other NATO defense and tech sectors.",?,
2025-04,"Algeria-linked hackers launched a cyberattack against Morocco's National Social Security Fund, leaking sensitive data online. The breach reportedly exposed personal and financial details for nearly two million people from roughly 500,000 companies.",MA,
2025-04,"Hackers spied on the emails of roughly 103 U.S. bank regulators at the Office of the Comptroller of the Currency for over a year, ending in early 2025. The attackers gained access via a compromised administrator account, accessing roughly 150,000 emails containing highly sensitive financial institution data. The hacks have yet to be attributed.",US,
2025-04,"U.S. Cyber Command discovered Chinese malware implanted on partner networks in multiple Latin American nations during a series of 'hunt forward' operations, according to Lt. Gen. Dan Caine, Trump's pick for chairman of the Joint Chiefs of Staff.",?,
2025-04,"North Korean cyber spies are expanding their infiltration operations to target European defense and government organizations. Hackers posed as remote workers to steal data, commit espionage, and generate revenue, increasingly using extortion against former employers after gaining access.",?,
2025-03,Iranian hackers conducted ongoing cyber espionage campaigns against government entities in Iraq and telecommunications in Yemen. Attackers used custom backdoors and novel command-and-control methods like hijacked emails and backdoors to gain access.,IQ-YE,
2025-03,"A network of front companies linked to a Chinese tech firm targeted recently laid-off U.S. federal workers using recruitment ads on job sites. The operation utilized fake consulting firms with non-functional contact details and addresses, mirroring methods identified by the FBI as potential foreign intelligence recruitment tactics.",US,
2025-02,"North Korean hackers conducted an espionage campaign against South Korean entities to exfiltrate system reconnaissance data from potentially thousands of machines. The attackers used PowerShell scripts and Dropbox for command and control and data exfiltration, demonstrating improved operational security by the attackers.",KR,
2025-02,"Chinese cyber espionage operations surged by 150% overall in 2024, with attacks against financial, media, manufacturing, and industrial sectors rising up to 300%, according to new reporting.",IGNORE,
2025-02,"Chinese hackers conducted ongoing cyber espionage campaigns targeting government, manufacturing, telecom, and media sectors in Southeast Asia, Hong Kong, and Taiwan. The attackers deployed a backdoor and embedded themselves in cloud services like Dropbox for command and control to evade detection.",HK-TW,
2025-02,"Chinese reporting claims that foreign APTs launched over 1,300 cyberattacks targeting 14 key sectors in China during 2024. Government agencies, education, research, defense, and transportation sectors were most affected, with attackers aiming to steal sensitive data and potentially conduct strategic sabotage.",CN,
2025-02,"North Korean hackers stole $1.5 billion in Ethereum from the Dubai-based exchange ByBit. Attackers exploited a vulnerability in third-party wallet software during a fund transfer, laundering at least $160 million within the first 48 hours of the attack. It is the largest cryptocurrency heist to date.",AE,
2025-02,"Chinese cyber actors conducted a coordinated disinformation campaign on WeChat against Canadian Liberal leadership candidate Chrystia Freeland, according to Canada's Security and Intelligence Threats to Elections Task Force. The operation involved numerous accounts spreading disparaging content linked to the PRC and reached 2 to 3 million global WeChat users.",CA,
2025-01,"Suspected Russian hackers executed spearphishing attacks against Kazakh diplomatic entities. Attackers imbedded malicious code within diplomatic documents, including one allegedly outlining an agreement between Germany and several Central Asian countries, for cyber espionage purposes.",KZ,
2025-01,"A pro-Russian hacking group claimed responsibility for a cyberattack targeting Italian government websites, including ministries, public services, and transportation platforms in cities like Rome and Palermo. The attack was reportedly a response to Italian Prime Minister Giorgia Meloni's meeting with Ukrainian President Volodymyr Zelenskyy, where she reiterated support for Ukraine.",IT,
2025-01,"Russian cyberattacks on Ukraine surged by nearly 70% in 2024, with 4,315 incidents targeting critical infrastructure, including government services, the energy sector, and defense-related entities. Ukraine's cybersecurity agency reported that attackers aimed to steal sensitive data and disrupt operations, with tactics such as malware distribution, phishing, and account compromises.",UA,
2025-01,"Cyberattacks on Taiwan by Chinese groups doubled to 2.4 million daily attempts in 2024, primarily targeting government systems and telecommunications firms, according to Taiwan's National Security Bureau. Attackers aimed to steal sensitive data and disrupt critical infrastructure, with successful attacks rising by 20% compared to 2023.",TW,
2024-12,"Chinese hackers breached a third-party vendor for the U.S. Treasury Department to gain access to over 3,000 unclassified files. The documents related to principles such as Secretary Janet Yellen, Deputy Secretary Wally Adeyemo, and Acting Under Secretary Brad Smith, in addition to the Committee of Foreign Investment in the United States and the Office of Foreign Assets Control.",US,
2024-12,"Russian hackers infiltrated a Pakistani hacking group, exploiting their infrastructure to access sensitive information stolen from South Asian government and military targets.",PK,
2024-12,"Cyberattacks on Indian government entities increased by 138% between 2019 and 2023, rising from 85,797 incidents in 2019 to 204,844 in 2023, according to the Indian Ministry of Electronics and IT.",IN,
2024-12,"Russian hackers targeted Romania's election systems with over 85,000 cyberattacks and leaked credentials on Russian hacker forums. The attacks came just before Romania's presidential vote, with attacks persisting through election day.",RO,
2024-12,Russian hackers launched a phishing campaign targeting Ukrainian armed forces and defense enterprises. The attackers deployed remote access tools to infiltrate military systems and steal credentials from platforms like Telegram and local networks.,UA,
2024-12,"China's national cybersecurity agency accused a U.S. intelligence agency of conducting cyberattacks on two Chinese tech firms since May 2023, targeting an advanced materials research unit and a high-tech company specializing in intelligent energy and digital information. The attacks reportedly led to the theft of substantial trade secrets, coinciding with heightened U.S.-China tensions over export controls on semiconductors and AI technologies.",CN,
2024-11,"The United Kingdom's National Cyber Security Center found a three-fold increase in the most significant cyberattacks compared to a year ago. NCSC provided support for 430 cyberattacks, 89 of which were 'nationally significant,' and listed China, Russia, Iran, and North Korea as 'real and enduring threats.'",GB,
2024-11,"Chinese hackers, dubbed Salt Typhoon, breached at least eight U.S. telecommunications providers, as well as telecom providers in more than twenty other countries, as part of a wide-ranging espionage and intelligence collection campaign. Researchers believe the attack began up to two years ago and still infects telecom networks. Attackers stole customer call data and law enforcement surveillance request data and compromised private communications of individuals involved in government or political activity.",US-?,
2024-11,Chinese spies planted a chip in a former U.S. three-stars general's conference name tag to track his every move during his time serving in the Indo-Pacific.,US,
2024-11,"Iranian hackers have been targeting aerospace, defense, and aviation industries in Israel, the UAE, Turkey, India, and Albania, according to Israeli reports. Hackers pose as recruiters on LinkedIn and distribute malware to victims through fake lucrative job offers to spy on targets and steal sensitive data starting in 2023. The malware and tactics are similar to those of a North Korean hacking group that targeted cryptocurrency exchange-traded funds.",IL-AE-TR-IN-AL,
2024-11,"South Korean officials accused pro-Russian hackers of attacking civilian and government website, following South Korea's decision to monitor North Korean troops in Ukraine. Several pro-Russian hacktivists have claimed the attacks, but no final attribution has been made.",KR,
2024-10,"Russian agents sent emails about bomb threats to nearly 60 Ukrainian embassies worldwide, as well as media outlets and state agencies.",UA,
2024-10,Iranian agents are increasing their espionage efforts against government agencies in the United Arab Emirates. Attackers deployed a backdoor to exfiltrate sensitive credentials,AE,
2024-10,Russian cybercriminals sent information-stealing malware to an unknown number of Ukrainian draft-age men to undermine Ukraine's military recruitment efforts.,UA,
2024-10,"Australia introduced its first national cyber legislation, the Cyber Security Bill 2024. It is the country's first attempt to codify security standards for ransomware reporting and smart devices and proposes a framework for managing the impact of significant cyber incidents.",IGNORE,
2024-10,"Chinese hackers have breached at least twenty Canadian government networks over the last four years, according to the Canadian Cantre for Cyber Security (CCCS).  CCCS reported that the objectives of the breach include espionage, IP theft, malign influence, and translational repression. The statement comes after CCCS revealed a Chinese threat actor was conducting surveillance scans of Canadian parliamentary and political networks.",CA,
2024-10,Russian hackers sent compromised emails disguised to appear as if they were sent from Amazon or Microsoft to infiltrate Ukrainian state and military devices and steal credentials from victims. The scope of the campaign is unknown.,UA,
2024-10,"Chinese hackers hacked cellphones used by senior members of the Trump-Vance presidential campaign, including phones used by former President Donald Trump and JD Vance as well as people affiliated with the Harris-Walz campaign. It is unclear what data may have been accessed. The FBI is investigating the incident.",US,
2024-10,New reporting reveals Chinese-backed hackers have been conducting large data exfiltration operations against Thailand's government institutions. Hackers first gained access in 2023 through a brute force attack on a local area network before gaining privileged access and beginning data exfiltration.,TH,
2024-10,"Ukrainian hackers attacked Russia's state media company and electronic court document management system on Putin's birthday. The attack prevented Russian courts from filing lawsuits or viewing court hearing schedules for several days, and it interrupted all streaming services of prominent TV and radio stations in Russia.",RU,
2024-09,Chinese hackers have been conducting an ongoing cyber espionage campaign against Middle Eastern government entities that published human rights studies related to the Israel-Hamas War. The campaign was discovered in June 2024 after researchers discovered malware implants that were designed to ultimately deliver a malware implant.,?,
2024-09,"Russian cyber spies conducted an espionage campaign against Mongolia's Ministry of Foreign Affairs and Cabinet websites. The spies added malicious code to the websites to exfiltrate a victim's browser cookies. Attackers used the same exploits as those sold by commercial surveillance vendors such as NSO Group and Intellexa, but it is unknown if these companies knowingly sold their exploits to the Russian government, according to reports.",MN,
2024-08,"U.S. government officials blamed Iranian hackers for breaking into Donald Trump's presidential campaign. Hackers also attempted to break into the then-Biden-Harris campaign, then offered to share the stolen Trump campaign documents with the campaign, but were ignored. The attack comes as U.S. officials raise warnings about potential foreign interference in the upcoming U.S. election from Russia, China, Iran, and North Korea.",US,
2024-08,The United Nations unanimously approved its first treaty on cybercrime. The treaty will face a General Assembly vote in the fall.,IGNORE,
2024-08,"Russian cyber criminals are deploying malware against diplomats through a used-car email scheme. The attackers embed a file supposedly with images of a used car in their email, but the file contains backdoor malware that established persistent access for attackers to engage in for follow-on data theft, reconnaissance, and surveillance activities.",?,
2024-07,South Korea's military is investigating the leak of highly sensitive information on Seoul's espionage activities and issued an arrest warrant for a suspect. The information included personal data on Seoul's non-official agents conducting undercover espionage overseas. The information was transferred to the suspect's personal laptop before being leaked. Lawmakers said the leak was first discovered in June and was not the result of a hack.,KR,
2024-07,"A faulty software update for Microsoft Windows issues by cybersecurity firm CrowdStrike caused a global IT outage that disrupted airline and hospital operations. It affected approximately 8.5 million machines and cost Fortune 500 companies $5.4 billion, according to reports.",>1,
2024-07,"Germany accused China of directing a 'serious' cyberattack against Germany's Federal Office for Cartography and Geodesy (BKG), which conducts precision mapping of the entire country, in 2021. The findings come at the end of a three-year investigation into the incident and as Germany plans a rip-and-replace project for Chinese telecommunications infrastructure in Germany over security concerns.",DE,
2024-07,"Australia, the United States, Canada, the United Kingdom, Germany, Japan, South Korea, and New Zealand issued a warning about malicious Chinese state-sponsored cyber activity in their networks. It marked the first time South Korea and Japan joined with Australia to attribute malicious cyber actions to China, and the first time Australia led a cyber attribution effort against China.",AU-US-CA-GB-DE-JP-KR-NZ,
2024-06,"Japan's space agency has suffered a series of cyberattacks since last year, according to the Japanese government. Japan's Chief Cabinet Secretary claimed the targeted networks did not contain sensitive rocket or satellite information, and that the attackers were 'from outside of Japan.'",JP,
2024-06,"Hackers deployed ransomware in Indonesia's national data center which briefly disrupted a variety of immigration services, including immigration document management services at airports, and deleted information that was not backed up. The attack prompted Indonesia's Director General of Informatics Applications at the Communications and Informatics Ministry to resign and initiated and a nation-wide audit of Indonesia's national data centers.",ID,
2024-06,Belarusian state-sponsored hackers launched an espionage campaign Ukraine's Ministry of Defense and a Ukrainian military base. The attackers sent targets phishing emails with drone image files a malicious Microsoft Excel spreadsheet.,UA,
2024-06,"Germany's main opposition party, the Christian Democratic Union, suffered a cyberattack just ahead of European Parliamentary elections. Germany's interior ministry did not disclose the extend of the attack or the suspected perpetrator, but acknowledged it was 'serious.' The attack occurred shortly after Germany's Social Democratic party was attacked by Russian hackers. The party briefly took down parts of its IT service as a precaution.",DE,
2024-06,"The government of Palau accused Chinese hackers of stealing over 20,000 government documents shortly after the island nation signed a 20-year economic and security deal with the United States in March 2024. Palau's president said this was the first major attack on government records that the island has seen.",PW,
2024-05,"A new report from Canada's Communications Security Establishment detected Chinese espionage activity against eight members of Parliament and one senator starting in 2021. The spies likely attempted to obtain information from the targets' personal and work devices but were unsuccessful, according to the report. The Parliamentarians were members of Canada's Inter-Parliamentary Alliance on China, which focuses on how democracies should approach PRC-related issues. The report also mentioned this activity was similar to activity against 19 European countries dating back to 2020.",CA,
2024-05,"Recent media reports stated Pakistani cyber spies deployed malware against India's government, aerospace, and defense sectors. The group sent phishing emails masquerading as Indian defense officials to infect their targets' devices and access sensitive information. The attack's extent is unknown.",PK,
2024-05,Chinese hackers hit Britain's Ministry of Defense with a cyberattack that exposed sensitive information on every troop apart from the UK's special forces. The attackers targeted a third-party contractor to access names and bank details of current and former members of the armed forces. The UK Minister of Defence stopped short of publicly naming China as the culprit.,GB,
2024-05,"Poland and the Czech Republic accused Russian cyber spies of targeting government and infrastructure networks. Both countries claim the attacks occurred around the same time Russian hackers attacked the German government. Hackers gained access by exploiting a Microsoft Outlook vulnerability, and the extent of the compromised data is currently unknown.",PL-CZ,
2024-05,"Germany accused Russian hackers of breaking into the emails of Germany's Social Democrats, the leading party in its governing coalition, and recalled its ambassador from the country. The campaign started in March 2022 when hackers exploited vulnerabilities in Microsoft Outlook to target the party's executive committee, as well as German defense and aerospace companies.",DE,
2024-04,"Ukraine's military intelligence agency launch a cyberattack against Russia's ruling United Russia party the same day Russia hosted its Victory Dictation. Attackers launched a barrage of DDoS attacks against United Russia's servers, websites, and domains to make them inaccessible. United Russia publicly admitted to suffering from a 'massive' DDoS attack.",RU,
2024-04,"Belarusian pro-democracy hackers, known as the Belarusian Cyber-Partisans, crippled the website of Belarus' main security service agency for over two months. The hackers also published a list of website administrators, its database, and server logs on its Telegram channel. This is the latest in a series of attacks against the Belarusian government by the group.",BY,
2024-04,Police in the United Kingdom are investigating a series of 'honey trap' attacks against British MPs. Attackers sent explicit messages allegedly of themselves over WhatsApp to their target for the apparent purpose of acquiring compromising images of the target. The perpetrators of these attacks are currently unknown.,GB,
2024-04,"Germany plans to create a cyber military branch as part of its military restructuring. Germany's defense minister, Boris Pistorius, stated the new Cyber and Information Domain Service (CIR) would help deter increasing cyber aggression from Russia against Germany and its NATO allies.",IGNORE,
2024-04,Hackers attacked El Salvador's national cryptocurrency wallet Chivo and exposed over 144 GB of sensitive personal information of millions of Salvadorians. The hackers also released Chivo's source code publicly. The Salvadorian government has not released an official public statement on the attack.,SV,
2024-03,"A 'massive' cyberattack disrupted the African Union's systems for over a week and infected over 200 user devices, according to the deputy chair of the AU Commission. The cause of the cyberattack is unknown.",ET,"Ethiopia is the African Union HQ, all countries in AU are: DZ-AO-BJ-BW-BF-BI-CM-CV-CF-TD-KM-CG-CD-CI-DJ-EG-GQ-ER-SZ-ET-GA-GM-GH-GN-GW-KE-LS-LR-LY-MG-MW-ML-MR-MU-MA-MZ-NA-NE-NG-RW-ST-SN-SC-SL-SO-ZA-SS-SD-TZ-TG-TN-UG-ZM-ZW"
2024-03,Iranian hackers compromised an IT network connected to an Israeli nuclear facility. Hackers leaked sensitive facility documents but did not compromise its operational technology network.,IL,
2024-03,Russian cyber spies launched phishing attacks against German political parties. Hackers concealed ransomware in a fake dinner invitation from Germany's Christian Democratic Union to install a backdoor in their victim's computer.,DE,
2024-03,"India's government and energy sectors was breached in a cyber espionage campaign. Hackers sent a malicious file disguised as a letter from India's Royal Air Force to offices responsible for India's electronic communications, IT governance, and national defense. Researchers have not yet determined who conducted the attack.",IN,
2024-03,A U.S. Department of Justice indictment revealed Chinese hackers targeted several EU members of the Inter-Parliamentary Alliance on China and Italian MPs. The attack was designed to detect IP addresses and the targets' locations.,?,
2024-03,Canada pulled its financial intelligence system FINTRAC offline after a 'cyber incident' by a currently unidentified attacker. FINTRAC claims the attack does not involve its intelligence or classified systems but declined to disclose further details of the incident.,CA,
2024-03,"Russian hackers leaked an intercepted conversation between German military officials about the country's support for Ukraine. In the call, the head of Germany's Air Force discussed the possibility of supplying Taurus missiles to Ukraine and commented on German Chancellor Olaf Scholz's hesitance to send the missiles. Germany announced it would investigate the incident and believes the leak was intended to inflame divisions in Germany.",DE,
2024-03,"Switzerland's National Cyber Security Centre (NCSC) confirmed that leaded data from a May 2023 breach included 65,000 documents from the Federal Administration. The documents contained sensitive personal data, classified information, and passwords, and were from Switzerland's federal police, judiciary, and migration offices. Swiss officials had originally assessed that breach only impacted non-government documents.",CH,
2024-03,Microsoft claims Russian hackers stole its source code and are continuing to gain unauthorized access to its internal systems as part of their November 2023 campaign to spy on senior Microsoft executives. Microsoft also said attackers increased the volume of their 'password spray' attacks by nearly tenfold between January and February 2024. The company did not disclose further details on the source code access or breached internal systems.,US,
2024-02,"Russian hackers launched an espionage campaign against the embassies of Georgia, Poland, Ukraine, and Iran beginning in 2023. Hackers exploited a bug in a webmail server to inject malware into servers at the embassies and collect information on European and Iranian political and military activities.",GE-PL-UA-IR,
2024-02,"Roughly 190 megabytes of data from a Chinese cybersecurity company were exposed online, revealing the company's espionage efforts on the governments of the United Kingdom, India, Indonesia, and Taiwan. The leak's source is unknown.",GB-IN-ID-TW,"Is this a Data Breach-CN, or is it something alse against GB-IN-ID-TW"
2024-02,The Royal Canadian Mounted Police suffered a cyberattack against its networks. The RCMP stated it is investigating this 'alarming' incident and does not believe it had an impact on its operations or the safety and security of Canadians. It is so far unclear who is behind the attack and if it was a data breach or security incident.,CA,
2024-02,"U.S. officials hacked an Iranian military spy ship that was sharing intelligence with Houthi rebels who have been firing on ships in the Red Sea. According to U.S. officials, the attack was part of the Biden administration's response to an Iranian drone stroke that killed three U.S. soldiers in Jordan.",IR,
2024-02,"A data breach of French health insurance companies in January 2024 affected 33 million French citizens, or nearly half the country's population. The attack compromised sensitive birth date, social security, and marital status information, but not medical history. The French data protection agency opened an investigation to determine if the companies complied with cybersecurity guidelines under the EU's General Data Protection Regulations.",FR,
2024-02,"Chinese spies places malware in a Dutch military network in 2023. The network was not connected to the defense ministry's main network, which reduced damage. This is the first time the Netherlands has publicly accused China of cyber espionage.",NL,
2024-01,"Hackers breached Global Affairs Canada's secure VPN in December 2023, allowing hackers to access sensitive personal information of users and employees. It affected staff emails, calendars, and contacts. It's unclear if classified information was compromised or lost. The hacker's identity is currently unknown.",CA,
2024-01,Russian hackers launched a ransomware attack against Sweden's only digital service provider for government services. The attack affected operations for 120 government offices and came as Sweden prepared to join NATO. Sweden expects disruptions to continue for several weeks.,SE,
2024-01,"Microsoft announced that Russian hackers broke into its corporate systems. Hackers used a 'password spray attack' to steal emails and documents from accounts of Microsoft's senior leadership, cybersecurity, and legal teams back in November 2023.",US,
2024-01,Russian hackers attacked 65 Australian government departments and agencies and stole 2.5 million documents in Australia's largest government cyberattack. Hackers infiltrated an Australian law firm that worked with the government to gain access to government files.,AU,
2024-01,"The Australian government identified and sanctioned Aleksandr Ermakov as the Russian hacker who breached Medibank, the country's largest private health insurance provider, in 2022. He stole information from 9.7 million current and former Medibank customers. This is the first time Australia has issued cyber sanctions against an individual since the framework was established in 2021. The U.S. and UK also sanctioned Ermakov.",AU,
2024-01,Russian agents hacked residential webcams in Kyiv to gather information on the city's air defense systems before launching a missile attack on Kyiv. Hackers changed the cameras' angles to gather information on nearby critical infrastructure facilities and stream the footage on YouTube. Ukraine has since ordered webcam operators in the country to stop live broadcasts.,UA,
2023-12,"Israeli-linked hackers disrupted approximately 70% of gas stations in Iran. Hackers claimed the attack was in retaliation for aggressive actions by Iran and its proxies in the region. Pumps restored operation the next day, but payment issues continued for several days.",IR,
2023-12,"Ukrainian state hackers crippled Russia's largest water utility plant by encrypting over 6,000 computers and deleting over 50 TB of data. Hackers claimed their attack was in retaliation for the Russian Kyivstar cyberattack.",RU,
2023-12,"Russian hackers hit Ukraine's largest mobile phone provider, Kyivstar, disabling access to its 24 million customers in Ukraine. Hackers claim to have destroyed more than 10,000 computers and 4,000 servers, including cloud storage and backup systems. The attack began hours before President Zelenskyy met with President Biden in Washington D.C.",UA,
2023-12,"Ukraine's military intelligence service claims to have disabled Russia's tax service in a cyberattack. According to the military intelligence service, the attack destroyed the system's configuration files, databases, and their backups, paralyzing Russia's tax service.",RU,
2023-11,Suspected Chinese hackers launched an espionage campaign against Uzbekistan and the Republic of Korea. Hackers use phishing campaigns to gain access to their target's systems and decrypt their information.,UZ-KR,
2023-11,"Chinese-linked hackers attacked Japan's space agency during summer 2023 and compromised the organization's directory. The agency shut down parts of its network to investigate the breach's scope, but claims it did not compromise critical rocket and satellite operations information.",JP,
2023-11,"Chinese hackers compromised Philippine government networks. Beginning in August 2023, hackers used phishing emails to imbed malicious code into their target's systems to establish command-and-control and spy on their target's activities.",PH,
